Price,Close,High,Low,Open,Volume
Ticker,GP,GP,GP,GP,GP
Date,,,,,
2024-12-31,0.7689999938011169,0.7699999809265137,0.7300000190734863,0.7300000190734863,162200
2025-01-02,0.7820000052452087,0.800000011920929,0.75,0.75,96700
2025-01-03,0.800000011920929,0.8109999895095825,0.7699999809265137,0.7699999809265137,105100
2025-01-06,0.8199999928474426,0.8399999737739563,0.7900000214576721,0.8029999732971191,163400
2025-01-07,0.8199999928474426,0.8600000143051147,0.7900000214576721,0.8149999976158142,127800
2025-01-08,0.7799999713897705,0.8299999833106995,0.753000020980835,0.8059999942779541,172200
2025-01-10,1.0199999809265137,1.090000033378601,0.7910000085830688,0.8299999833106995,1368100
2025-01-13,0.9100000262260437,1.0399999618530273,0.8999999761581421,1.0199999809265137,341900
2025-01-14,0.8450000286102295,0.9700000286102295,0.7599999904632568,0.9399999976158142,204200
2025-01-15,0.824999988079071,0.9200000166893005,0.8199999928474426,0.8799999952316284,163100
2025-01-16,0.8230000138282776,0.8299999833106995,0.7990000247955322,0.8220000267028809,94200
2025-01-17,0.8050000071525574,0.8349999785423279,0.800000011920929,0.824999988079071,67400
2025-01-21,0.8100000023841858,0.8199999928474426,0.7839999794960022,0.8199999928474426,140000
2025-01-22,0.7929999828338623,0.8100000023841858,0.7799999713897705,0.800000011920929,104000
2025-01-23,0.8100000023841858,0.8299999833106995,0.7799999713897705,0.7919999957084656,69000
2025-01-24,0.8659999966621399,0.875,0.7900000214576721,0.8169999718666077,201900
2025-01-27,0.8180000185966492,0.8769999742507935,0.800000011920929,0.8769999742507935,61900
2025-01-28,0.7990000247955322,0.8399999737739563,0.7799999713897705,0.8050000071525574,95600
2025-01-29,0.800000011920929,0.8299999833106995,0.7799999713897705,0.7799999713897705,82000
2025-01-30,0.7850000262260437,0.8090000152587891,0.7699999809265137,0.7990000247955322,48500
2025-01-31,0.8349999785423279,0.8399999737739563,0.7630000114440918,0.7979999780654907,168200
2025-02-03,0.7900000214576721,0.800000011920929,0.75,0.7699999809265137,91600
2025-02-04,0.8100000023841858,0.8299999833106995,0.7900000214576721,0.7900000214576721,37100
2025-02-05,0.7799999713897705,0.8299999833106995,0.7730000019073486,0.800000011920929,41500
2025-02-06,0.7350000143051147,0.7850000262260437,0.7319999933242798,0.7710000276565552,271100
2025-02-07,0.7519999742507935,0.765999972820282,0.7350000143051147,0.7350000143051147,134000
2025-02-10,0.7509999871253967,0.7670000195503235,0.7409999966621399,0.75,42600
2025-02-11,0.7509999871253967,0.7649999856948853,0.7360000014305115,0.7599999904632568,80200
2025-02-12,0.7350000143051147,0.75,0.7200000286102295,0.75,154600
2025-02-13,0.7450000047683716,0.753000020980835,0.7250000238418579,0.7300000190734863,76500
2025-02-14,0.7250000238418579,0.7699999809265137,0.7229999899864197,0.7310000061988831,157200
2025-02-18,0.7459999918937683,0.7590000033378601,0.7229999899864197,0.7229999899864197,197400
2025-02-19,0.75,0.7699999809265137,0.7210000157356262,0.75,115600
2025-02-20,0.7210000157356262,0.75,0.7099999785423279,0.734000027179718,123200
2025-02-21,0.7070000171661377,0.7400000095367432,0.699999988079071,0.7269999980926514,154800
2025-02-24,0.6919999718666077,0.7250000238418579,0.6909999847412109,0.7009999752044678,127800
2025-02-25,0.625,0.7009999752044678,0.6119999885559082,0.7009999752044678,257000
2025-02-26,0.6079999804496765,0.6499999761581421,0.5929999947547913,0.6200000047683716,207300
2025-02-27,0.5600000023841858,0.6399999856948853,0.5410000085830688,0.6200000047683716,401900
2025-02-28,0.5699999928474426,0.5870000123977661,0.5600000023841858,0.5789999961853027,202100
2025-03-03,0.5009999871253967,0.5870000123977661,0.5009999871253967,0.5870000123977661,290400
2025-03-04,0.4779999852180481,0.5099999904632568,0.44999998807907104,0.5,141800
2025-03-05,0.5249999761581421,0.5400000214576721,0.4729999899864197,0.4729999899864197,124000
2025-03-06,0.5149999856948853,0.5400000214576721,0.4909999966621399,0.5220000147819519,144200
2025-03-07,0.5180000066757202,0.5389999747276306,0.5040000081062317,0.5270000100135803,53800
2025-03-10,0.47600001096725464,0.5350000262260437,0.4699999988079071,0.5099999904632568,109000
2025-03-11,0.4970000088214874,0.5239999890327454,0.4699999988079071,0.4699999988079071,35100
2025-03-12,0.5040000081062317,0.5099999904632568,0.47999998927116394,0.49000000953674316,199200
2025-03-13,0.5120000243186951,0.5400000214576721,0.48500001430511475,0.49900001287460327,149100
